time_recorded,num,miss,date,mode,term,direction,etat
2022-06-25 00:06:08,SOSY28,SOSY,25/06/2022 00:14,R,87758722,0,
2022-06-25 00:07:02,SOSY28,SOSY,25/06/2022 00:14,R,87758722,0,
2022-06-25 00:07:50,SOSY28,SOSY,25/06/2022 00:14,R,87758722,0,
2022-06-25 00:09:01,SOSY28,SOSY,25/06/2022 00:14,R,87758722,0,
2022-06-25 00:10:01,SOSY28,SOSY,25/06/2022 00:14,R,87758722,0,
2022-06-25 00:11:01,SOSY28,SOSY,25/06/2022 00:14,R,87758722,0,
2022-06-25 00:12:01,SOSY28,SOSY,25/06/2022 00:14,R,87758722,0,
2022-06-25 00:13:01,SOSY28,SOSY,25/06/2022 00:14,R,87758722,0,
2022-06-25 10:58:00,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 10:58:00,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 10:58:00,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 10:58:00,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 10:58:00,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 10:58:00,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 10:58:00,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 10:59:01,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 10:59:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 10:59:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 10:59:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 10:59:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 10:59:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 10:59:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:00:00,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:00:00,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:00:00,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:00:00,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:00:00,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:00:00,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:00:00,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:01:01,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:01:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:01:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:01:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:01:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:01:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:01:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:02:01,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:02:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:02:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:02:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:02:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:02:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:02:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:03:00,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:03:00,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:03:00,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:03:00,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:03:00,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:03:00,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:03:00,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:04:01,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:04:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:04:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:04:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:04:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:04:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:04:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:05:01,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:05:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:05:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:05:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:05:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:05:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:05:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:05:01,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:06:01,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:06:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:06:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:06:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:06:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:06:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:06:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:06:01,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:07:00,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:07:00,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:07:00,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:07:00,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:07:00,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:07:00,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:07:00,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:07:00,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:08:01,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:08:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:08:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:08:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:08:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:08:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:08:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:08:01,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:09:00,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:09:00,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:09:00,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:09:00,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:09:00,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:09:00,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:09:00,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:09:00,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:10:01,SORI94,SORI,25/06/2022 11:11,R,87758722,1,
2022-06-25 11:10:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:10:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:10:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:10:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:10:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:10:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:10:01,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:11:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:11:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:11:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:11:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:11:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:11:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:11:01,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:12:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:12:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:12:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:12:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:12:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:12:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:12:01,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:13:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:13:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:13:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:13:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:13:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:13:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:13:01,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:14:00,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:14:00,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:14:00,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:14:00,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:14:00,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:14:00,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
2022-06-25 11:14:00,SOSO38,SOSO,25/06/2022 12:56,R,87758722,1,
2022-06-25 11:15:01,SOSO02,SOSO,25/06/2022 11:26,R,87758722,0,
2022-06-25 11:15:01,SOSO08,SOSO,25/06/2022 11:41,R,87758722,0,
2022-06-25 11:15:01,SOSO14,SOSO,25/06/2022 11:54,R,87758722,1,
2022-06-25 11:15:01,SOSO20,SOSO,25/06/2022 12:11,R,87758722,0,
2022-06-25 11:15:01,SOSO26,SOSO,25/06/2022 12:26,R,87758722,0,
2022-06-25 11:15:01,SOSO32,SOSO,25/06/2022 12:41,R,87758722,1,
