trip_id;trip_line;destination;destination_id;origin;origin_id;time_departure;arrival;arrival_id;time_arrival;time_travelled
IDFM:TN:SNCF:21b23b5d-b1e4-4ba1-bb4d-da0a09dc69e7;IDFM:C01743;Mitry - Claye;IDFM:69065;Aulnay-sous-Bois;IDFM:72646;2730.0;Sevran - Livry;IDFM:73439;2920.0;190.0
IDFM:TN:SNCF:21b23b5d-b1e4-4ba1-bb4d-da0a09dc69e7;IDFM:C01743;Mitry - Claye;IDFM:69065;Sevran - Livry;IDFM:73439;2950.0;Vert Galant;IDFM:73482;3100.0;150.0
IDFM:TN:SNCF:21b23b5d-b1e4-4ba1-bb4d-da0a09dc69e7;IDFM:C01743;Mitry - Claye;IDFM:69065;Vert Galant;IDFM:73482;3130.0;Villeparisis - Mitry-le-Neuf;IDFM:68916;3270.0;140.0
IDFM:TN:SNCF:21b23b5d-b1e4-4ba1-bb4d-da0a09dc69e7;IDFM:C01743;Mitry - Claye;IDFM:69065;Villeparisis - Mitry-le-Neuf;IDFM:68916;3300.0;Mitry - Claye;IDFM:69065;3580.0;280.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Robinson;IDFM:427230;85017.0;Fontenay-aux-Roses;IDFM:70133;85138.0;121.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Fontenay-aux-Roses;IDFM:70133;85168.0;Sceaux;IDFM:74265;85242.0;74.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Sceaux;IDFM:74265;85272.0;Bourg-la-Reine;IDFM:70033;85360.0;88.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Bourg-la-Reine;IDFM:70033;85400.0;Bagneux;IDFM:70210;85525.0;125.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Bagneux;IDFM:70210;85555.0;Arcueil - Cachan;IDFM:70263;85625.0;70.0
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Mitry - Claye;IDFM:69065;Arcueil - Cachan;IDFM:70263;85655.0;Laplace;IDFM:70427;85748.0;93.0
