trip_id;trip_line;origin;origin_id;time_departure;arrival;arrival_id;time_arrival;time_travelled;DataFrame Column
IDFM:TN:SNCF:21b23b5d-b1e4-4ba1-bb4d-da0a09dc69e7;IDFM:C01743;Aulnay-sous-Bois;IDFM:72646;0 days 00:45:30;Sevran - Livry;IDFM:73439;0 days 00:48:40;0 days 00:03:10;0 days 00:03:10
IDFM:TN:SNCF:21b23b5d-b1e4-4ba1-bb4d-da0a09dc69e7;IDFM:C01743;Sevran - Livry;IDFM:73439;0 days 00:49:10;Vert Galant;IDFM:73482;0 days 00:51:40;0 days 00:02:30;0 days 00:02:30
IDFM:TN:SNCF:21b23b5d-b1e4-4ba1-bb4d-da0a09dc69e7;IDFM:C01743;Vert Galant;IDFM:73482;0 days 00:52:10;Villeparisis - Mitry-le-Neuf;IDFM:68916;0 days 00:54:30;0 days 00:02:20;0 days 00:02:20
IDFM:TN:SNCF:21b23b5d-b1e4-4ba1-bb4d-da0a09dc69e7;IDFM:C01743;Villeparisis - Mitry-le-Neuf;IDFM:68916;0 days 00:55:00;Mitry - Claye;IDFM:69065;0 days 00:59:40;0 days 00:04:40;0 days 00:04:40
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Robinson;IDFM:427230;0 days 23:36:57;Fontenay-aux-Roses;IDFM:70133;0 days 23:38:58;0 days 00:02:01;0 days 00:02:01
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Fontenay-aux-Roses;IDFM:70133;0 days 23:39:28;Sceaux;IDFM:74265;0 days 23:40:42;0 days 00:01:14;0 days 00:01:14
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Sceaux;IDFM:74265;0 days 23:41:12;Bourg-la-Reine;IDFM:70033;0 days 23:42:40;0 days 00:01:28;0 days 00:01:28
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Bourg-la-Reine;IDFM:70033;0 days 23:43:20;Bagneux;IDFM:70210;0 days 23:45:25;0 days 00:02:05;0 days 00:02:05
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Bagneux;IDFM:70210;0 days 23:45:55;Arcueil - Cachan;IDFM:70263;0 days 23:47:05;0 days 00:01:10;0 days 00:01:10
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Arcueil - Cachan;IDFM:70263;0 days 23:47:35;Laplace;IDFM:70427;0 days 23:49:08;0 days 00:01:33;0 days 00:01:33
IDFM:TN:SNCF:96579ce9-a20f-4be5-af64-6ca66f72ef6b;IDFM:C01743;Laplace;IDFM:70427;0 days 23:49:38;Gentilly;IDFM:70543;0 days 23:50:55;0 days 00:01:17;0 days 00:01:17
