time_recorded,num,miss,date,mode,term,direction,etat
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:14,R,87758722,1,
2022-06-24 10:06:43,SOIE42,SOIE,24-06-2022 10:32,R,87758722,0,
2022-06-24 10:06:43,SOIE48,SOIE,24-06-2022 10:53,R,87758722,0,
2022-06-24 10:06:43,SOIE54,SOIE,24-06-2022 11:17,R,87758722,1,
2022-06-24 10:06:43,SOIE60,SOIE,24-06-2022 11:38,R,87758722,0,
2022-06-24 10:06:43,SOIE66,SOIE,24-06-2022 11:59,R,87758722,0,
2022-06-24 10:06:43,SOIE72,SOIE,24-06-2022 12:20,R,87758722,1,
2022-06-24 10:06:43,SOIE78,SOIE,24-06-2022 12:41,R,87758722,1,
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:14,R,87758722,1,
2022-06-24 10:06:43,SOIE42,SOIE,24-06-2022 10:32,R,87758722,0,
2022-06-24 10:06:43,SOIE48,SOIE,24-06-2022 10:53,R,87758722,0,
2022-06-24 10:06:43,SOIE54,SOIE,24-06-2022 11:17,R,87758722,1,
2022-06-24 10:06:43,SOIE60,SOIE,24-06-2022 11:38,R,87758722,0,
2022-06-24 10:06:43,SOIE66,SOIE,24-06-2022 11:59,R,87758722,0,
2022-06-24 10:06:43,SOIE72,SOIE,24-06-2022 12:20,R,87758722,1,
2022-06-24 10:06:43,SOIE78,SOIE,24-06-2022 12:41,R,87758722,1,
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:14,R,87758722,1,
2022-06-24 10:06:43,SOIE42,SOIE,24-06-2022 10:32,R,87758722,0,
2022-06-24 10:06:43,SOIE48,SOIE,24-06-2022 10:53,R,87758722,0,
2022-06-24 10:06:43,SOIE54,SOIE,24-06-2022 11:17,R,87758722,1,
2022-06-24 10:06:43,SOIE60,SOIE,24-06-2022 11:38,R,87758722,0,
2022-06-24 10:06:43,SOIE66,SOIE,24-06-2022 11:59,R,87758722,0,
2022-06-24 10:06:43,SOIE72,SOIE,24-06-2022 12:20,R,87758722,1,
2022-06-24 10:06:43,SOIE78,SOIE,24-06-2022 12:41,R,87758722,1,
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:14,R,87758722,1,
2022-06-24 10:06:43,SOIE42,SOIE,24-06-2022 10:32,R,87758722,0,
2022-06-24 10:06:43,SOIE48,SOIE,24-06-2022 10:53,R,87758722,0,
2022-06-24 10:06:43,SOIE54,SOIE,24-06-2022 11:17,R,87758722,1,
2022-06-24 10:06:43,SOIE60,SOIE,24-06-2022 11:38,R,87758722,0,
2022-06-24 10:06:43,SOIE66,SOIE,24-06-2022 11:59,R,87758722,0,
2022-06-24 10:06:43,SOIE72,SOIE,24-06-2022 12:20,R,87758722,1,
2022-06-24 10:06:43,SOIE78,SOIE,24-06-2022 12:41,R,87758722,1,
